cgdppc,countrycode,rgdpnapc
38592,BEL,37791
38130,BEL,38130
38907,BEL,37906
39398,BEL,37737
39182,BEL,38228
39531,BEL,38569
39733,BEL,38766
1230,BEN,1331
1222,BEN,1306
1213,BEN,1280
1170,BEN,1220
1194,BEN,1230
1184,BEN,1206
1173,BEN,1181
1162,BEN,1156
1193,BEN,1174
1224,BEN,1191
1281,BEN,1201
1331,BEN,1213
1294,BEN,1144
1336,BEN,1169
1425,BEN,1220
1529,BEN,1252
1563,BEN,1267
1531,BEN,1248
1617,BEN,1264
1613,BEN,1268
1752,BEN,1262
1765,BEN,1255
1817,BEN,1342
1897,BEN,1363
2003,BEN,1416
1683,BEN,1284
1769,BEN,1266
1798,BEN,1284
1710,BEN,1242
1755,BEN,1303
1842,BEN,1383
2296,BEN,1417
1630,BEN,1523
1569,BEN,1413
1623,BEN,1479
1776,BEN,1542
1529,BEN,1526
1380,BEN,1458
1388,BEN,1457
1225,BEN,1402
1240,BEN,1481
1276,BEN,1496
1268,BEN,1493
1252,BEN,1508
1082,BEN,1471
1171,BEN,1575
1201,BEN,1594
1283,BEN,1633
1302,BEN,1644
1382,BEN,1677
1489,BEN,1718
1548,BEN,1752
1662,BEN,1775
1719,BEN,1778
1783,BEN,1799
1829,BEN,1771
1821,BEN,1783
1887,BEN,1833
1897,BEN,1866
1857,BEN,1853
1864,BEN,1837
1836,BEN,1836
1906,BEN,1867
1962,BEN,1939
2092,BEN,2008
2141,BEN,2055
2166,BEN,2080
1378,BFA,497
1400,BFA,511
1419,BFA,524
1438,BFA,537
1458,BFA,551
1478,BFA,565
1499,BFA,580
1518,BFA,595
1540,BFA,611
1558,BFA,626
1557,BFA,638
1749,BFA,660
1877,BFA,697
1788,BFA,683
1817,BFA,694
1873,BFA,714
1858,BFA,711
1992,BFA,766
1994,BFA,782
1997,BFA,788
1865,BFA,781
1874,BFA,802
1831,BFA,824
1685,BFA,770
1664,BFA,745
1497,BFA,702
1446,BFA,684
1526,BFA,716
1609,BFA,782
1632,BFA,772
1608,BFA,766
1598,BFA,780
1566,BFA,778
1456,BFA,750
1397,BFA,743
1548,BFA,818
1713,BFA,921
1578,BFA,879
1627,BFA,922
1512,BFA,883
1424,BFA,846
1449,BFA,893
1369,BFA,865
1337,BFA,866
1196,BFA,847
1236,BFA,865
1297,BFA,931
1344,BFA,959
1364,BFA,998
1384,BFA,1038
1355,BFA,1024
1315,BFA,1051
1283,BFA,1049
1263,BFA,1089
1255,BFA,1103
1299,BFA,1162
1324,BFA,1197
1289,BFA,1208
1295,BFA,1239
1265,BFA,1237
1328,BFA,1300
1344,BFA,1344
1487,BFA,1388
1452,BFA,1422
1513,BFA,1437
1527,BFA,1450
1561,BFA,1483
1111,BGD,1119
1115,BGD,1122
1129,BGD,1137
1127,BGD,1135
1127,BGD,1134
1046,BGD,1053
1136,BGD,1143
1092,BGD,1100
1050,BGD,1057
1084,BGD,1091
1151,BGD,1129
1240,BGD,1170
1206,BGD,1141
1312,BGD,1232
1292,BGD,1221
1342,BGD,1261
1316,BGD,1252
1299,BGD,1199
1370,BGD,1284
1368,BGD,1275
1380,BGD,1306
1337,BGD,1216
1273,BGD,1048
1019,BGD,1031
1036,BGD,1135
1004,BGD,1098
1111,BGD,1122
1136,BGD,1098
1131,BGD,1143
1160,BGD,1162
1139,BGD,1138
1128,BGD,1143
1107,BGD,1130
1097,BGD,1159
1173,BGD,1194
1209,BGD,1203
1201,BGD,1227
1185,BGD,1249
1213,BGD,1255
1336,BGD,1257
1382,BGD,1309
1401,BGD,1326
1398,BGD,1349
1396,BGD,1373
1439,BGD,1407
1477,BGD,1446
1496,BGD,1490
1459,BGD,1540
1413,BGD,1587
1352,BGD,1642
1369,BGD,1705
1384,BGD,1758
1443,BGD,1815
1468,BGD,1891
1479,BGD,1979
1539,BGD,2076
1657,BGD,2191
1813,BGD,2307
1997,BGD,2410
2144,BGD,2511
2421,BGD,2632
2772,BGD,2772
2697,BGD,2914
2806,BGD,3057
2901,BGD,3217
3068,BGD,3402
3250,BGD,3604
,BGR,
,BGR,
,BGR,
,BGR,
,BGR,
,BGR,
,BGR,
1487,BGR,1460
,BGR,
2002,BGR,1966
1746,BGR,1714
,BGR,
1911,BGR,1876
,BGR,
2012,BGR,1975
,BGR,
,BGR,
1770,BGR,1738
,BGR,
,BGR,
1816,BGR,1783
2164,BGR,2125
2196,BGR,2156
2092,BGR,2054
2146,BGR,2107
2172,BGR,2132
2255,BGR,2214
2275,BGR,2234
2157,BGR,2118
2306,BGR,2265
2082,BGR,2045
2211,BGR,2172
2452,BGR,2408
2676,BGR,2628
2653,BGR,2605
2967,BGR,2913
2978,BGR,2925
2649,BGR,2601
2552,BGR,2506
2606,BGR,2559
